1 获取网校信息                         School/getSchoolSite
2 根据二维码获取网校信息         School/getSchoolSiteByQrCode
3 获取网校banner                     School/getSchoolBanner
4 获取网校公告	                        School/getSchoolBanner
5 获取推荐课程	                        School/getRecommendCourses
6 获取每周精选	                        School/getWeekRecommendCourses
7 登录用户                                User/login
8 注册用户                                User/regist
9 获取发现                                Category/getCategories
10 获取服务条款                        School/getUserterms
11 获取所有发现                        Category/getAllCategories
12 获取课程                               Course/getCourses
13 获取网校简介                         School/getSchoolInfo
14 获取用户信息                         User/getUserInfo
15 获取课程课时列表                   Lesson/getCourseLessons
16 获取课程所有评价                   Course/getReviews
17 获取课程公告                          Course/getCourseNotice
18 获取教室课程                          Course/getTeacherCourses
